OrderId ,CustomerEmail ,PurchaseDate 
9001,sapir@gmail.com,2021-12-05 09:00:00
9002,carmel@gmail.com,2021-12-05 09:35:00
9003,mirit@gmail.com,2021-12-05 10:12:00
9004,roei@gmail.com,2021-12-05 11:15:00
9005,omer@gmail.com,2021-12-05 11:46:00
9006,jennifer@gmail.com,2021-12-05 12:15:00
9007,mika@gmail.com,2021-12-05 13:23:00
9008,inbar@gmail.com,2021-12-05 14:18:00
9009,aviv@gmail.com,2021-12-05 20:19:00
9010,alexa@gmail.com,2021-12-06 08:19:00
9011,ruby@gmail.com,2021-12-06 09:20:00
9012,pula@gmail.com,2021-12-06 09:35:00
9013,noa@gmail.com,2021-12-06 10:40:00
9014,john@gmail.com,2021-12-06 11:11:00
9015,christian@gmail.com,2021-12-06 12:19:00
9016,morgan@gmail.com,2021-12-06 12:58:00
9017,denzel@gmail.com,2021-12-06 14:19:00
9018,will@gmail.com,2021-12-06 15:46:00
9019,brad@gmail.com,2021-12-06 18:20:00
9020,sapir@gmail.com,2021-12-07 08:06:00
9021,carmel@gmail.com,2021-12-07 10:19:00
9022,mirit@gmail.com,2021-12-07 11:30:00
9023,roei@gmail.com,2021-12-07 12:12:00
9024,omer@gmail.com,2021-12-07 12:45:00
9025,jennifer@gmail.com,2021-12-07 13:20:00
9026,mika@gmail.com,2021-12-07 14:32:00
9027,inbar@gmail.com,2021-12-07 15:12:00
9028,aviv@gmail.com,2021-12-07 16:34:00
9029,alexa@gmail.com,2021-12-07 19:11:00
